length_avg, d0_avg, d1_avg, d3_avg, d5_avg
28750,26035.12,13020.896,6517.056,4350.064
28875,27546.256,13776.688,6894.128,4601.424
29000,28315.856,14161.408,7087.232,4730.896
29125,29307.088,14657.152,7334.992,4896.304
29250,29885.744,14946.544,7480.048,4991.36
29375,29904.752,14955.872,7484.192,4995.072
29500,30182.912,15095.232,7554.016,5041.824
29625,27899.84,13953.248,6983.248,4661.344
29750,27882.832,13944.928,6978.96,4657.744
29875,30744.528,15375.856,7694.688,5134.816
30000,25236.416,12621.376,6317.072,4217.152
30125,29962.544,14984.976,7499.008,5004.432
30250,32155.296,16081.28,8047.504,5370.128
30375,32962.576,16484.944,8249.296,5504.608
30500,30468.256,15237.76,7624.928,5087.92
30625,30364.368,15185.776,7599.536,5071.856
30750,31757.984,15882.672,7947.76,5303.328
30875,29029.952,14518.448,7265.472,4849.12
31000,30104.88,15056.032,7534.912,5028.8
31125,32330.752,16169.104,8091.2,5399.136
31250,28509.12,14257.952,7135.008,4762.192
31375,31789.968,15898.768,7956.168,5309.944
31500,30031.808,15019.36,7516.128,5015.776
31625,29891.648,14949.408,7481.328,4992.736
31750,26937.312,13471.984,6742.016,4499.776
31875,31485.536,15746.352,7879.432,5258.208
32000,28968.688,14487.68,7249.6,4838.992
32125,30191.824,15099.328,7556.176,5042.496
32250,34040.4,17023.856,8518.928,5684.352
32375,30664.928,15336.064,7674.544,5122.112
32500,29723.04,14864.896,7438.752,4965.008
32625,33095.536,16551.472,8282.448,5526.624
32750,31500.16,15753.6,7883.2,5261.152
32875,28234.48,14120.512,7066.528,4715.968
33000,27146.96,13576.816,6794.176,4534.96
33125,31643.344,15825.12,7919.392,5284.608
33250,31457.664,15732.176,7872.416,5253.408
33375,33636.144,16821.456,8417.152,5617.104
33500,37619.536,18813.632,9413.568,6280.976
33625,37425.296,18716.464,9365.328,6249.248
33750,30402.096,15204.32,7608.608,5077.808
33875,35731.328,17869.344,8941.616,5967.104
34000,34450.944,17229.088,8620.992,5753.52
34125,35937.84,17972.736,8993.104,6001.264
34250,34471.088,17239.104,8625.536,5756.496
34375,26336.912,13171.632,6591.792,4400.24
34500,32713.344,16360.32,8186.448,5462.576
34625,31850.096,15928.368,7970.368,5319.52
34750,36991.616,18499.568,9256.832,6176.64
34875,32894.048,16450.464,8231.344,5493.168
35000,35145.584,17576.24,8794.496,5868.816
35125,32100.24,16053.424,8033.088,5360.16
35250,32670.512,16338.768,8176.096,5455.696
35375,34027.92,17017.424,8515.28,5682.912
35500,32929.904,16468.288,8240.48,5499.456
35625,36289.28,18148.256,9080.608,6059.472
35750,32400.544,16203.68,8107.904,5411.12
35875,34597.712,17302.32,8657.68,5777.76
36000,36231.024,18119.248,9066.448,6050.128
36125,35460.912,17734.16,8873.152,5922.032
36250,32534.464,16270.8,8141.68,5433.376
36375,30101.232,15053.952,7532.832,5027.984
36500,32201.568,16104.16,8058.304,5376.736
36625,35418.8,17713.024,8862.944,5914.288
36750,32488.624,16247.552,8130.064,5425.28
36875,32605.088,16305.888,8159.312,5444.896
37000,34566.512,17286.704,8649.104,5771.808
37125,35004.448,17505.552,8759.392,5845.648
37250,36539.664,18273.52,9142.992,6100.624
37375,36887.872,18447.296,9230.08,6159.024
37500,39275.28,19641.504,9827.12,6557.136
37625,40777.936,20392.592,10203.152,6807.808
37750,30926.512,15466.512,7739.488,5164.4
37875,37882.032,18944.704,9478.656,6325.136
38000,37071.136,18539.12,9275.6,6188.768
38125,37835.328,18921.2,9467.136,6317.536
38250,36745.744,18376.448,9194.976,6135.472
38375,40918.768,20463.008,10238.56,6830.784
38500,41424.0,20715.84,10364.496,6915.44
38625,37280.576,18643.744,9328.352,6224.256
38750,38012.016,19009.6,9510.752,6345.648
38875,42291.072,21149.296,10580.768,7060.144
39000,36031.2,18019.04,9016.08,6015.392
39125,35643.312,17825.104,8918.896,5951.472
39250,37372.336,18689.584,9350.896,6239.472
39375,39682.816,19844.992,9929.648,6625.392
39500,36441.872,18224.352,9118.272,6084.576
39625,38761.104,19384.112,9698.192,6471.152
39750,38323.728,19165.28,9589.04,6398.368
39875,37510.112,18758.736,9385.168,6262.16
40000,33464.528,16735.456,8373.776,5588.16
40125,41543.792,20775.408,10394.112,6935.52
40250,36481.728,18244.256,9128.368,6090.784
40375,41702.032,20854.88,10434.256,6961.712
40500,39252.528,19629.68,9820.88,6553.328
40625,40982.016,20494.56,10253.584,6841.504
40750,33787.488,16897.056,8454.256,5641.6
40875,43060.88,21533.808,10773.408,7188.08
41000,37462.928,18734.752,9374.288,6254.96
41125,32282.256,16144.304,8077.92,5390.864
41250,41031.552,20519.328,10266.16,6849.504
41375,45509.296,22758.512,11385.856,7596.256
41500,37587.808,18797.248,9404.336,6275.568
41625,39258.256,19632.544,9822.624,6554.016
41750,33838.416,16922.432,8467.136,5650.736
41875,40700.448,20353.856,10183.04,6794.368
42000,37905.136,18955.92,9484.512,6328.752
42125,43680.48,21844.096,10928.384,7291.472
42250,44789.008,22398.272,11205.456,7476.72
42375,44842.704,22425.152,11219.296,7484.912
42500,42014.416,21010.608,10511.984,7012.736
42625,43815.872,21911.52,10962.192,7313.84
42750,45930.24,22968.832,11490.784,7666.608
42875,36818.432,18412.688,9212.224,6145.824
43000,37836.288,18921.696,9467.328,6316.48
43125,38094.144,19050.496,9531.616,6358.752
43250,38912.576,19459.76,9735.584,6495.84
43375,42959.664,21483.376,10748.016,7171.12
43500,44719.632,22363.376,11188.24,7464.4
43625,40654.32,20330.528,10171.888,6786.672
43750,36662.496,18334.8,9173.056,6120.752
43875,41365.744,20686.24,10350.08,6905.184
44000,44600.512,22303.92,11158.48,7444.928
44125,45323.504,22665.36,11339.328,7564.464
44250,40931.872,20469.536,10241.216,6833.36
44375,41488.16,20747.712,10379.728,6925.32
44500,39995.2,20001.168,10006.88,6676.448
44625,48853.584,24430.56,12222.032,8153.104
44750,46164.944,23086.048,11549.408,7705.312
44875,41250.624,20628.656,10321.12,6885.84
45000,45922.896,22965.088,11489.312,7665.36
45125,50923.664,25465.84,12739.904,8498.208
45250,41801.824,20904.256,10457.936,6978.112
45375,42196.528,21101.84,10557.152,7043.12
45500,43930.576,21968.88,10990.512,7332.864
45625,44255.712,22131.488,11072.624,7386.88
45750,48329.328,24168.32,12091.088,8065.632
45875,46734.848,23371.056,11692.128,7800.4
46000,42316.176,21161.472,10586.88,7063.568
46125,44137.488,22072.224,11042.528,7366.928
46250,46771.584,23389.28,11701.536,7807.424
46375,47779.12,23893.2,11953.456,7974.32
46500,50160.912,25084.064,12549.2,8372.064
46625,44582.64,22294.672,11153.712,7441.824
46750,56364.912,28186.496,14100.0,9405.632
46875,45637.312,22822.208,11417.072,7616.416
47000,48244.976,24126.128,12069.168,8052.432
47125,44786.56,22396.672,11204.352,7475.504
47250,44628.48,22317.728,11165.52,7449.008
47375,46587.424,23297.28,11655.04,7775.264
47500,47690.112,23848.56,11930.752,7959.536
47625,43729.376,21868.08,10940.208,7298.736
47750,46989.6,23498.192,11755.648,7842.976
47875,55432.304,27719.968,13867.424,9250.848
48000,47995.856,24001.184,12007.424,8011.312
